codigo,descripcion
000297,(IE) ALAM.P/AMARRAR(50kg)
000298,(IE) ALAM.P/AMARRAR(25kg)
000299,ALAMBRE P/AMARRAR (1 kg)
000300,ALAM.GALV.N.18 ROLLO  1kg
000301,ALAM.GALV.N.18 ROLLO 50kg
000302,ALAM.GALV.N.18 ROLLO 25Kg
000306,ALAMBRON ESTR.  5.2mm X6m
000307,ALAMBRON ESTR. 6.0mm X 6m
000308,ALAMBRON ESTR.  6.5mm X6m
000310,ALAMBRON ESTR.  7.5mm x 6
000408,ALAMBRON ESTR.  4.1mm x6m
000410,VARILLA EST. 4.8mm  X  6m
000448,VARILLA EST. 8.00 mm x 6m
000449,VARILLA EST (8.50mm) x 6m
000450,VARILLA EST.N.3.(9mm) X6m
000451,VARILLA EST N4(10.5mm)x6m
000452,VARILLA EST (10.0 mm) x6m
000453,VARILLA EST(9.50 mm) x 6m
000455,VARILLA EST.N.2.CBC.   6m
000458,CABILLA  3/8  X  6      m
000459,CABILLA  1/2   X   6    m
000499,.........................
000500,ALAMBRON COMERCIAL  5.5MM
000501,ALAMBRON SAE 1008   5.5mm
000502,ALAMBRON SAE 1010   5.5mm
000503,ALAMBRON SAE 1006   5.5mm
000505,ALAMB.SAE1010 RESTR.5.5MM
000510,ALAMBRON SAE 1018 DN5.5MM
000513,ALAMBRON SAE 1023   5.5mm
000515,ALAMBRON SAE 1006   6.0mm
000516,ALAMBRON SAE 1010   6.0mm
000520,ALAMBRON SAE 1015   6.0mm
000526,ALAMBRON SAE 1008   6.5MM
000528,ALAMBRON SAE 1010   6.5MM
000530,ALAMBRON SAE 1015   6.5MM
000532,ALAMBRON SAE 1010   7.0mm
000535,ALAMBRON COMERCIAL  8.0MM
000537,ALAMBRON SAE 1010   8.0mm
000540,ALAMBRON COMERCIAL  8.5MM
000542,ALAMBRON SAE 1010   8.5MM
000550,ALAMBRON COMERCIAL  9.0MM
000553,ALAMBRON SAE 1008   9.0MM
000555,ALAMBRON SAE 1010   9.0mm
000557,ALAMBRON SAE 1010   9.5MM
000560,ALAMBRON COMERCIAL 10.0MM
000565,ALAMBRON SAE 1010  10.0mm
000570,ALAMBRON SAE 1008  10.0MM
000577,ALAMBRON COMERCIAL 11.0MM
000578,ALAMBRON SAE 1010  11.0mm
000579,ALAMBRON SAE 1010  11.5MM
000580,ALAMBRON COMERCIAL 11.5MM
